id,name,type,sub_type,description,vertical,lost_flowrate,bod_removal,cod_removal,nh4_removal,tn_removal,no3_removal,p_removal,pathogens_reduction,raw_domestic_wastewater,pretreated_domestic_wastewater,greywater,secondary_treated_wastewater,river_diluted_wastewater,offices_wastewater,camping_wastewater,cso_discharge_water,rain_water,runoff_water,m2_pe_tropical,m2_pe_dry,m2_pe_temperate,m2_pe_continental,hlr_m3_m2_year_low,hlr_m3_m2_year_high,gr_bod_m2_tropical,gr_bod_m2_dry,gr_bod_m2_temperate,gr_bod_m2_continental,es_biodiversity_fauna,es_biodiversity_flora,es_temperature_regulation,es_flood_mitigation,es_cso_mitigation,es_carbon_sequestration,es_biomass_production,es_aesthetic_value,es_recreation,es_pollination,es_food_source,es_water_reuse,es_biosolids,household_building_solutions,energy,inv_es_manpower,inv_es_skills,inv_es_biohazard,cost_low,cost_high,cost_units,opex_low,opex_high,opex_units,module,infiltration,storage_capacity_low,storage_capacity_high,hc_low,hc_high,hc_units,depth
A_FWS,Aerated + free water surface wetland,MS,A_FWS,Combination of aearated vertical subsurface flow and free water wetland,0,0.1,99,90,99,60,1,0,1,0,1,0,1,1,1,1,1,0,0,2,2,3,3,70,80,30,30,20,20,2,2,1,1,3,2,2,1,1,1,0,3,0,0,1,3,2,2,298.738,298.738,€/m2,NA,NA,NA,treatment,1,0.5,0.5,10000,10000,NA,1.2
IA_CW,Aerated treatment wetland,CW,IA_CW,CW - Intensified wetlands - Aerated engineered wetland,0,0.05,99,90,99.05,60,1,0,1,2,1,1,0,0,2,2,0,0,0,0.33,0.33,0.67,0.33,NA,NA,181.8181818,181.8181818,89.55223881,181.8181818,1,1,0,0,0,1,2,1,1,0,0,3,0,1,1,3,2,3,383,740,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
CSO_ATW,Aerated treatment wetland for CSO,CW,CSO_ATW,Subsurface vertical flow - CSO wetlands with aeration,0,0.05,99,90,99,60,1,0,1,0,1,0,1,1,1,1,1,0,0,0.3,0.3,0.3,1000000,100,120,200,200,200,200,2,1,0,0,3,1,2,1,1,0,0,3,0,0,1,3,2,2,592.857,592.857,€/m2,NA,NA,NA,treatment,1,0.5,0.5,10000,10000,NA,1.2
AP+FP_PL,Anaerobic + facultative pond,MS,AP+FP_PL,Multistage Wastewater stabilization ponds/lagoons - Anaerobic+Facultative,0,0.1,80,65.9,76.4,39,1,0,1,1,1,0,0,0,1,1,0,0,0,5,5,7,1000000,NA,NA,12,12,8.571428571,0,2,1,1,0,0,0,0,1,1,0,0,2,2,0,0,1,1,2,188,188,€/m2,0.56,1.05,€/pe,treatment,NA,NA,NA,NA,NA,NA,NA
AP+FP+MP_PL,Anaerobic + maturation pond,MS,AP+FP+MP_PL,Multistage Wastewater stabilization ponds/lagoons - Anaerobic+Facultative+Maturation,0,0.1,92,78.4,80,65.5,1,0,1,1,1,0,0,0,1,1,0,0,0,5,5,7,1000000,NA,NA,12,12,8.571428571,0,2,1,1,0,0,0,0,1,1,0,0,3,2,0,0,1,1,2,188,188,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
BS_ABS,Anaerobic bioretention system,BS,BS_ABS,A bioretention system that has the outlet pipe designed so that there is a permanent water level within the drainage layer to create an anaerobic environment at the bottom of the system.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,1,3,1,3,0,2,0,1,0,2,1,0,100,150,€/m2,NA,NA,NA,swm,0,0.47,0.47,0.24,0.49,mm/s,0.25
AP_PL,Anaerobic pond,PL,AP_PL,Wastewater stabilization ponds/lagoons - Anaerobic,0,0.05,70,62.3,47.1,35.7,1,0,1,1,1,0,0,0,1,1,0,0,0,5,5,7,1000000,NA,NA,12,12,8.571428571,0,2,1,1,0,0,0,0,1,1,0,0,1,2,0,0,1,1,2,338,338,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
A_HA,Aquaponic system,HA,A_HA,Aquaponics,0,0.05,99,99,34.4,90,1,1,0,0,0,0,2,1,0,0,0,0,0,0.5,0.5,0.5,0.5,NA,NA,120,120,120,120,0,0,0,0,0,2,0,1,0,0,3,3,2,1,1,3,3,1,584,584,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
BS_BS,Bioretention swale (or trench),BS,BS_BS,A bioretention swale is a shallow and vegetated depression with sloped sides that is located within the base of a swale.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,2,1,2,1,2,0,1,0,0,0,2,1,0,130.75,130.75,€/m2,NA,NA,NA,swm,1,0.47,0.47,1,2.2,mm/s,0.25
BS_BTP,Bioretention tree pit,BS,BS_BTP,A bioretention tree pit is a street tree pit with enhanced performance achieved through extra surface planting and soil amendments.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,2,1,3,1,2,0,1,0,1,0,1,1,0,62.5,225,€/m2,NA,NA,NA,swm,1,0.1,0.28,0.24,0.49,mm/s,0.45
SW_CAS,Conveyance and attenuation swale,SW,SW_CAS,Conveyance and attenuation swales act similar to a pipeline in that they collect and carry surface water to the next stage in the SuDS management train.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,3,1,1,2,1,1,0,1,0,0,0,1,1,0,29.16,29.16,€/m2,NA,NA,NA,swm,1,0.5,0.7,10000,10000,mm/s,0.5
DB_DB,Detention basin,DB,DB_DB,Detention basins are landscaped depressions that are normally dry except during and immediately after storm events.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,2,3,3,3,0,1,0,0,0,3,3,0,76,76,€/m2,NA,NA,NA,swm,1,0.5,0.7,10000,10000,mm/s,2
GR_ER,Extensive green roof,GR,GR_ER,Roofs that are covered with a lightweight layer with a shallow growing medium.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,2,3,1,3,0,1,0,1,0,2,1,0,36,36,€/m2,NA,NA,NA,swm,0,0.5,0.5,0.8,4.6,mm/s,0.1
FP+MP_PL,Facultative + maturation pond,MS,FP+MP_PL,Multistage Wastewater stabilization ponds/lagoons - Facultative+Maturation,0,0.1,94.2,85.9,94.7,79,0,0,1,1,1,1,1,0,1,1,0,0,0,7,7,10,1000000,NA,NA,8.571428571,8.571428571,6,0,2,1,1,0,0,1,0,1,1,0,0,3,1,0,0,1,1,2,822,822,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
FP_PL,Facultative pond,PL,FP_PL,Wastewater stabilization ponds/lagoons - Facultative,0,0.05,82.7,45,77.8,59.9,1,0,1,1,1,0,0,0,1,1,0,0,0,7,7,10,1000000,NA,NA,8.571428571,8.571428571,6,0,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,2,820,820,€/m2,0.56,1.05,€/pe,treatment,NA,NA,NA,NA,NA,NA,NA
FP_PL+FWS_CW,Facultative pond + Free water surface flow constructed wetland,MS,FP_PL+FWS_CW,Multistage Facultative pond + Free Water Surface Constructed Wetland,0,0.1,82.7,90,94.7,59.9,0,0,1,1,1,1,1,0,1,1,0,0,0,7,7,10,1000000,NA,NA,8.571428571,8.571428571,6,0,2,3,1,2,0,3,2,3,2,2,0,3,1,0,0,2,1,2,195,195,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
FS_FS,Filter strips,FS,FS_FS,Area uniformly graded and gently sloping strips of grass or other dense vegetation that are designed to treat runoff from adjacent impermeable areas.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,0,2,2,2,2,0,1,0,0,0,1,1,0,411.25,411.25,€/m2,NA,NA,NA,swm,1,0,0,0.24,0.49,mm/s,0.5
FWS_CW,Free water surface treatment wetland,CW,FWS_CW,Surface flow - Free water systems,0,0.05,76.7,76.7,94.7,74,1,0,1,0,2,1,1,0,0,0,0,0,0,3,3,6,10,NA,NA,20,20,10,6,3,3,1,2,0,2,3,3,2,2,0,3,0,0,0,2,2,2,116,116,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
French_CW,French vertical flow treatment wetland,CW,French_CW,Subsurface flow - French reed beds,0,0.05,95.3,99,90,75.9,0,0,1,1,0,0,0,0,1,1,0,0,0,0.5,0.5,2,2,NA,NA,120,120,30,30,2,1,0,0,1,1,2,1,1,0,0,3,3,1,0,2,2,3,172,172,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
PP_GR,Grass reinforcement,PP,PP_GR,A type of ground protection that uses plastic or concrete grids infilled with grass or gravel to create a load-bearing grass reinforced surface.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,0,0,3,3,2,0,0,0,1,0,2,1,0,10.53,10.53,€/m2,NA,NA,NA,swm,1,0.95,0.95,0.01,0.025,mm/s,0.25
HF_GW,Horizontal flow green wall,GW,HF_GW,Green wall with horizontal flow,1,0.05,99.9,80.9,99,79,1,0,1,0,0,1,1,0,0,0,0,0,0,7.19,7.19,10.79,25.18,NA,NA,8.34,8.34,5.56,2.383285714,2,3,3,0,0,2,1,3,1,3,1,3,0,1,1,3,3,1,234.037,234.037,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
HSSF_CW,Horizontal flow treatment wetland,CW,HSSF_CW,Subsurface flow - Horizontal flow,0,0.05,87.1,80.4,68.4,63.8,1,0,1,0,1,1,1,0,0,0,0,0,0,2,2,3,7,NA,NA,30,30,20,8.571428571,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,1,1,1,202,202,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
HSSF_CW+MP_PL,Horizontal flow treatment wetland + maturation pond,MS,HSSF_CW+MP_PL,Multistage Wastewater Subsurface horizontal CW + Maturation pond,0,0.05,87.1,80.4,80,63.8,0,0,1,0,0,1,1,0,0,0,0,0,0,2,2,3,7,NA,NA,30,30,20,8.571428571,2,1,1,0,0,1,2,1,1,0,0,3,1,0,0,1,1,2,665,665,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
WW,Hybrid living wall,GW,WW,Modular green wall combining vertical and horitzonal flow treatment units,1,0.05,99,98.7,99,99.8,1,0,1,0,0,1,1,0,0,0,0,0,0,13.9,13.9,26,115.64,NA,NA,5.63,5.63,3.51,1.337202857,2,2,3,0,0,1,1,3,0,3,1,3,0,1,1,3,3,2,350,350,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
H_HA,Hydroponic system,HA,H_HA,Hydroponics,0,0.05,79,72.1,86.4,83.8,1,1,0,0,0,0,2,1,0,0,0,0,0,0.5,0.5,0.5,0.5,NA,NA,120,120,120,120,0,0,0,0,0,2,0,1,0,0,3,3,1,1,1,3,3,1,28.68,28.68,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
I-SRS,In-stream restoration,ISRS,I-SRS,Instream retention systems,0,0.05,80,80,26,57.6,1,1,1,0,0,0,1,1,0,0,0,0,0,0.05,0.05,0.05,0.05,NA,NA,1200,1200,1200,1200,3,3,0,3,0,2,1,3,3,0,2,0,0,0,0,1,2,1,45,767,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
IS_IBa,Infiltration basin,IS,IS_IBa,Flat-bottomed shallow landscape depressions that store runoff before infiltration into the subsurface soils.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,2,0,2,1,2,0,1,0,0,0,2,2,0,65,65,€/m2,NA,NA,NA,swm,1,0.18,0.19,10000,10000,mm/s,5
IS_IT,Infiltration trench,IS,IS_IT,Linear excavations filled with gravel or stone that create temporary subsurface storage of stormwater runoff.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,3,3,0,0,2,0,0,0,1,0,1,0,2,2,0,78,78,€/m2,NA,NA,NA,swm,1,0.451,0.451,1,10,mm/s,1.5
GR_IR,Intensive green roof,GR,GR_IR,Roofs that have deep that can support a wide variety of plantings.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,3,3,3,3,0,2,0,1,0,3,1,0,408.17,408.17,€/m2,NA,NA,NA,swm,0,0.5,0.5,0.8,4.6,mm/s,0.15
GR_IRR,Intensive green roof with retention layer,GR,GR_IRR,Roofs that have deep substrates that can support a wide variety of plantings and incorporate an extra retention layer.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,3,3,3,3,0,2,0,1,0,3,1,0,408.17,408.17,€/m2,NA,NA,NA,swm,0,0.88,0.92,0.8,4.6,mm/s,0.15
MP_PL,Maturation pond,PL,MP_PL,Wastewater stabilization ponds/lagoons - Maturation,0,0.05,52.1,34.1,41.3,48.6,0,0,1,0,0,0,1,0,0,0,0,0,0,7,7,10,1000000,NA,NA,8.571428571,8.571428571,6,0,2,1,1,0,0,1,0,1,1,0,0,3,1,0,0,1,1,1,1205,1205,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
PP_MoPeP,Modular permeable paving,PP,PP_MoPeP,A type of permeable paving that consists of modular units that are laid on a permeable base and sub-base.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,0,0,2,2,1,0,0,0,1,0,1,2,0,35,35,€/m2,NA,NA,NA,swm,1,0.19,0.19,0.01,0.025,mm/s,0.25
NW,Natural wetland,NW,NW,Natural Wetland,0,0.05,97,80,80,80,1,1,1,0,0,0,1,0,0,0,0,0,0,3,3,6,10,NA,NA,20,20,10,6,3,3,1,3,3,3,3,3,3,2,3,3,0,0,0,1,1,2,0,0,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
Phyto,Phytoparking,CW,Phyto,Underground natural wastewater treatment combined with parking space on top,0,0,99,90,90,50,1,1,1,0,1,1,1,0,1,1,0,0,0,0.3,0.875,0.75,1000000,NA,NA,181.8,89.6,89.6,0,1,1,2,0,0,1,0,1,0,0,0,3,0,0,1,1,2,2,694,847.8,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
PO_PO,Pond,PO,PO_PO,Ponds are features with a permanent pool of water that provide both attenuation and treatment of surface water runoff.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,2,3,3,3,0,1,0,0,0,2,1,0,68.2,68.2,€/m2,NA,NA,NA,swm,1,0.5,0.7,10000,10000,mm/s,1.46
PO_PR,Pond retrofits,PO,PO_PR,It is the improvement or adaptation of an existing pond to function as a Sustainable Urban Drainage System (SUDS).,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,2,3,0,112.42,112.42,€/m2,NA,NA,NA,swm,1,0.5,0.7,10000,10000,mm/s,1.46
BS_RG,Rain garden,BS,BS_RG,Rain gardens are small bioretention systems that serve part of a single property.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,1,1,2,1,2,0,1,0,1,0,1,1,0,103,103,€/m2,NA,NA,NA,swm,1,0.4,0.4,0.24,0.49,mm/s,0.3
RG-T,Rain garden with treatment,CW,RG-T,Bioswale to collect and treat road runoff,0,0.05,80,80,40,50,0,1,0,0,0,2,0,0,0,0,0,0,0,1000000,1000000,1000000,1000000,NA,NA,0,0,0,0,2,2,2,2,3,1,2,3,2,3,0,3,0,1,0,1,2,1,9.352,9.352,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
BS_RP,Raised planter,BS,BS_RP,Raised planters are boxed systems constructed above the surrounding ground surface with a planted soil mix and an underdrain to collect the filtered water.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,3,2,2,2,3,2,3,3,0,1,0,2,1,0,9.89,9.89,€/m2,NA,NA,NA,swm,0,0.3,0.3,0.24,0.49,mm/s,0.25
SIS_S,Rapid-rate soil  infiltration system,SIS,SIS_S,Infiltration or soil-based treatment systems - Slow,0,0,99,91.7,99,90,0,0,1,0,0,1,1,1,0,0,0,0,0,0.5,0.5,0.5,0.5,NA,NA,120,120,120,120,1,1,1,0,1,0,0,1,0,0,0,3,0,1,1,2,2,1,3,3,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
IRM_CW,Reactive media in treatment wetland,CW,IRM_CW,Intensified wetlands - Reactive Media,0,0,80,80,80,80,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,2,10,NA,NA,60,60,30,6,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,2,2,1,198.073,198.073,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
R_CW,Reciprocating treatment wetland,CW,R_CW,Intensified wetlands - Recirculation/Tidal,0,0.1,99,98.9,99.4,72.2,1,0,1,0,1,0,0,0,0,0,0,0,0,1.5,1.5,3,15,NA,NA,40,40,20,4,2,1,0,0,0,1,2,1,1,0,0,3,0,1,1,3,2,2,287.315,287.315,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
Rair_FrW,Rhizosph'air aerated french wetland,CW,Rair_FrW,Rhizosph'air aerated french wetland,0,0.05,99,90,99,60,1,0,1,1,1,0,0,0,1,1,0,0,0,0.5,1,1,1.5,NA,NA,60,0,80,120,2,1,1,0,0,1,1,2,1,0,0,3,0,0,1,2,2,2,134.288,134.288,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
GR,Rooftop treatment wetland,GR,GR,Subsurface flow - Rooftop wetlands,0,0.05,99,91.5,99,97.9,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,10,NA,NA,60,60,30,6,2,3,3,0,2,2,1,3,1,3,1,3,0,1,1,3,3,2,165.061,165.061,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
SIS_R,Slow-rate soil infiltration system,SIS,SIS_R,Infiltration or soil-based treatment systems - Rapid,0,0.01,99,99,99,91.9,0,0,1,0,0,1,1,1,0,0,0,0,0,0.5,0.5,0.5,0.5,NA,NA,120,120,120,120,1,1,1,0,1,0,0,1,0,0,0,3,0,1,0,1,1,1,1.66,1.66,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
IA_PL,Surface aerated pond,PL,IA_PL,Wastewater stabilization ponds/lagoons - Intensified aeration,0,0.05,99,85,95,90,0,0,1,1,1,2,1,0,1,1,0,0,0,3,3,5,1000000,NA,NA,20,20,12,0,1,1,0,0,0,1,0,1,1,0,0,3,3,0,1,3,2,3,338,338,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
CSO_CW,Treatment wetland for CSO,CW,CSO_CW,Subsurface flow - CSO wetlands,0,0.05,94.1,94,97.4,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3,0.3,0.3,0.3,40,60,200,200,200,200,2,1,0,0,3,1,2,1,1,0,0,3,0,1,0,2,2,2,151,151,€/m2,NA,NA,NA,treatment,1,0.5,0.5,10000,10000,NA,1.2
TR_TR,Trees,TR,TR_TR,Trees detain water in their canopies and enhance infiltration in their pits.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,1,3,3,2,0,1,0,1,0,2,1,0,62.5,225,€/m2,NA,NA,NA,swm,1,0.1,0.28,0.1,0.1,mm/s,3
VSSF+HSSF_CW,Vertical flow + Horizontal flow treatment wetland,MS,VSSF+HSSF_CW,Subsurface flow - Vertical + Horizontal flow,0,0.05,99,98.7,97.6,87.3,1,0,1,0,1,0,0,0,0,0,0,0,0,2,2,3,7,NA,NA,30,30,20,8.571428571,2,1,0,0,0,1,2,1,1,0,0,3,0,0,0,2,2,2,237,237,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
VF_GW,Vertical flow green wall,GW,VF_GW,Green wall with vertical flow,1,0.05,99,90,90,40,0,0,1,0,0,1,1,0,0,0,0,0,0,20.61,20.61,41.22,206.1,NA,NA,2.91,2.91,1.46,0.29112,2,3,3,0,0,2,1,3,1,3,1,3,0,1,1,3,3,1,497,497,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
VSSF_CW,Vertical flow treatment wetland,CW,VSSF_CW,Subsurface flow - Vertical Flow,0,0.05,99,90,96.1,55,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,2,10,NA,NA,60,60,30,6,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,2,2,2,163,163,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
VF-RPS,Vertical flow wetland with recycle and partial saturation,CW,VF-RPS,Vertical flow wetland with recycle and partial saturation,0,0.05,99,90,90,40,1,1,1,0,1,1,1,0,1,1,0,0,0,1.5,1000000,1000000,1000000,NA,NA,60,0,0,120,1,1,1,0,0,1,2,2,1,1,0,3,0,1,1,2,2,2,215,215,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
SW_WS,Wet swale,SW,SW_WS,Wet swales are specifically designed to provide wet or boggy conditions at their base.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,1,1,2,1,2,0,1,0,0,0,3,1,0,7.295,22.345,€/m2,NA,NA,NA,swm,1,0.5,0.7,10000,10000,mm/s,0.5
WS,Willow system,WS,WS,Zero discharge systems - Willow systems,0,1,100,100,100,100,1,1,1,0,1,1,1,0,0,0,0,0,0,1000000,15,30,70,NA,NA,0,4,2,0.857142857,2,2,0,2,0,3,3,2,2,3,0,0,0,1,0,2,2,1,60.341,60.341,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
